date,value,year,month
2016-01-01,-3.05,2016,1
2016-02-01,-9.69,2016,2
2016-03-01,-12.94,2016,3
2016-04-01,-15.46,2016,4
2016-05-01,-18.3,2016,5
2016-06-01,-22.76,2016,6
2016-07-01,-23.99,2016,7
2016-08-01,-20.62,2016,8
2016-09-01,-18.64,2016,9
2016-10-01,-16.64,2016,10
2016-11-01,-7.74,2016,11
2016-12-01,-2.48,2016,12
2017-01-01,-3.12,2017,1
2017-02-01,-6.5,2017,2
2017-03-01,-12.29,2017,3
2017-04-01,-10.2,2017,4
2017-05-01,-18.05,2017,5
2017-07-01,-22.24,2017,7
2017-08-01,-26.1,2017,8
2017-09-01,-19.26,2017,9
2017-10-01,-13.51,2017,10
2017-11-01,-11.43,2017,11
2017-12-01,-4.68,2017,12
2018-01-01,-5.45,2018,1
2018-02-01,-7.8,2018,2
2018-03-01,-11.43,2018,3
2018-04-01,-17.73,2018,4
2018-05-01,-17.44,2018,5
2018-06-01,-18.8,2018,6
2018-07-01,-23.68,2018,7
2018-08-01,-21.06,2018,8
2018-09-01,-20.84,2018,9
2018-10-01,-17.79,2018,10
2018-11-01,-8.72,2018,11
2018-12-01,-3.5,2018,12
2019-01-01,-3.6,2019,1
2019-02-01,-5.66,2019,2
2019-03-01,-11.54,2019,3
2019-05-01,-19.77,2019,5
2019-06-01,-23.71,2019,6
2019-07-01,-23.12,2019,7
2019-09-01,-22.16,2019,9
2019-11-01,-4.64,2019,11
2019-12-01,0.34,2019,12
2020-01-01,-4.29,2020,1
2020-02-01,-7.38,2020,2
2020-03-01,-14.75,2020,3
2020-04-01,-8.68,2020,4
2020-05-01,-10.56,2020,5
2020-06-01,-20.83,2020,6
2020-08-01,-25.29,2020,8
2020-09-01,-18.52,2020,9
2020-10-01,-17.27,2020,10
2020-11-01,-9.52,2020,11
2020-12-01,-5.85,2020,12
2021-01-01,-5.87,2021,1
2021-02-01,-12.44,2021,2
2021-03-01,-8.72,2021,3
2021-04-01,-11.8,2021,4
2021-05-01,-9.5,2021,5
2021-06-01,-22.5,2021,6
2021-07-01,-24.3,2021,7
2021-08-01,-25.05,2021,8
2021-09-01,-20.53,2021,9
2021-10-01,-16.55,2021,10
2021-11-01,-7.95,2021,11
2021-12-01,-3.09,2021,12
2022-01-01,-3.4,2022,1
2022-02-01,-8.64,2022,2
2022-03-01,-9.24,2022,3
2022-04-01,-17.21,2022,4
2022-05-01,-19.24,2022,5
2022-07-01,-32.14,2022,7
2022-08-01,-23.28,2022,8
2022-09-01,-21.84,2022,9
2022-10-01,-15.03,2022,10
2022-11-01,-21.11,2022,11
2022-12-01,-3.28,2022,12
2023-01-01,-3.17,2023,1
2023-02-01,-5.76,2023,2
2023-03-01,-12.0,2023,3
2023-04-01,-9.07,2023,4
2023-05-01,-18.02,2023,5
2023-06-01,-18.35,2023,6
2023-07-01,-20.03,2023,7
2023-08-01,-20.24,2023,8
2023-09-01,-18.1,2023,9
2023-10-01,-16.09,2023,10
2023-11-01,-6.36,2023,11
2023-12-01,-5.47,2023,12
2024-01-01,-3.94,2024,1
2024-02-01,-5.37,2024,2
2024-04-01,-17.71,2024,4
2024-05-01,-19.48,2024,5
2024-06-01,-22.73,2024,6
2024-07-01,-18.22,2024,7
2024-08-01,-20.24,2024,8
2024-09-01,-19.65,2024,9
2024-10-01,-16.45,2024,10
2024-12-01,-6.06,2024,12
2025-01-01,-6.0,2025,1
2025-02-01,-11.85,2025,2
2025-03-01,-14.75,2025,3
2025-04-01,-17.22,2025,4
2025-05-01,-21.85,2025,5
2025-06-01,-20.8,2025,6
2025-07-01,-18.03,2025,7
2025-08-01,-20.47,2025,8
2025-09-01,-18.64,2025,9
2025-10-01,-15.64,2025,10
2025-11-01,-11.69,2025,11
2025-12-01,-7.07,2025,12
2026-01-01,-6.01,2026,1
